name,age,email
Clément,27,clement27@mail.com
Damien,26,damien26@mail.com
Hugo,28,hugo28@mail.com
Julie,29,julie29@mail.com
Anaïs,23,anais23b@mail.com
Mathis,22,mathis22@mail.com
Lola,, 
Lucas,19,lucas19@mail.com
Léo,abc,leoabc@mail.com
Nina,21,nina21@mail.com
Alice,28,alice28@mail.com
Lucas,23a,lucas23a@mail.com
Paul,29,paul29@mail.com
Clara,26,clara2@mail.com
Julie,20,julie20@mail.com
Max,24,max24@mail.com
Zoé,20,zoe20@mail.com
Clément,30,clement30@mail.com
Sophie,25,sophie25@mail.com
Hugo,, 
Gabriel,,gabriel@mail.com
Emma,22,emma22@mail.com
Romain,29,romain29@mail.com
Emma,,emma2@mail.com
Victor,25,victor25@mail.com
Lucas,28,lucas28@mail.com
Zoé,21,zoe21@mail.com
Nathan,28,nathan28@mail.com
Ethan,,ethan2@mail.com
Camille,23,camille23@mail.com
Lucas,23,lucas23@mail.com
Maxime,29,maxime29@mail.com
Mia,25,mia25@mail.com
Julie,23,julie24@mail.com
Clara,22,clara3@mail.com
Lola,, 
Manon,xx,manonxx@mail.com
Alice,21,alice21@mail.com
Romain,27,romain27b@mail.com
Mathis,abc, 
Chloé,,chloe@mail.com
Clément,xx,clementxx@mail.com
Julie,,julie2@mail.com
Ethan,28,ethan28@mail.com
Inès,23,ines23@mail.com
Gabriel,24,gabriel24@mail.com
Inès,, 
Damien,22,damien22b@mail.com
Alice,,alice2@mail.com
Manon,28,manon28@mail.com
Mia,,mia2@mail.com
Clara,24,clara24@mail.com
Victor,26a,victor26a@mail.com
Emma,27,emma27@mail.com
Nathan,, 
Hugo,27,hugo27@mail.com
Lucas,,lucas2@mail.com
Maxime,xx,maximexx@mail.com
Zoé,, 
Julie,24,julie5@mail.com
Noah,19,noah19@mail.com
Julie,27,julie2@mail.com
Damien,abc,damien2@mail.com
Clara,,clara3@mail.com
Leo,,leo3@mail.com
Léo,22,leo22@mail.com
Léa,20,lea20@mail.com
Camille,, 
Noah,, 
Lola,24,lola24b@mail.com
Nathan,24,nathan2@mail.com
Mia,21,mia21@mail.com
Thomas,26,thomas26@mail.com
Emma,22,emma22@mail.com
Leo,22,leo22b@mail.com
Inès,25,ines25@mail.com
Julien,28,julien28@mail.com
Max,xx,maxxx@mail.com
Maxime,,maxime2@mail.com
Clément,23,clement23@mail.com
Lucas,28,lucas28@mail.com
Sarah,,sarah3@mail.com
Victor,26,victor26@mail.com
Zoé,28,zoe28@mail.com
Paul,29,paul29@mail.com
Anaïs,,anais2@mail.com
Damien,22,damien22@mail.com
Noah,26,noah26@mail.com
Nathan,27,nathan27@mail.com
Leo,26,leo26@mail.com
Chloé,,chloe@mail.com
Camille,26,camille26@mail.com
Gabriel,28,gabriel28@mail.com
Alice,23,alice23@mail.com
Manon,19,manon19@mail.com
